id,nome,email,especialidade,biografia,data_cadastro,ultima_alteracao
1,Thales Porto,thalesporto1@edutech.com,Data Science,Laborum dolores ipsam quae doloremque excepturi tempora. Consequuntur doloremque possimus provident. Illum molestiae impedit dignissimos in temporibus. Veniam accusantium sunt nemo labore velit error harum.,2023-11-16 12:53:42,2024-01-12 12:53:42
2,Carlos Eduardo da Luz,carloseduardodaluz2@edutech.com,Python,Distinctio eveniet quis fugit quibusdam rerum. Rerum iusto quibusdam amet veritatis. Officiis quos officiis quidem veniam. Numquam dolores labore. Natus dolor praesentium quisquam. Non quibusdam beatae reprehenderit vitae autem ad est. Id quaerat asperiores porro occaecati aut.,2025-09-09 11:59:17,2025-10-26 23:47:53
3,Eloá Porto,eloaporto3@edutech.com,Python,Ipsa quasi vitae earum. Quo iure repudiandae nihil eum doloribus vel. Sunt doloribus iure nostrum fugiat. Sed delectus distinctio reiciendis excepturi sunt praesentium. Ab veniam assumenda quam laborum quidem porro. Ipsum accusantium eos illo doloribus optio fuga.,2024-12-30 10:44:49,2025-01-22 10:44:49
4,Eloah Cavalcanti,eloahcavalcanti4@edutech.com,UI/UX,Provident consectetur aliquid. Mollitia possimus commodi. Sit nemo iusto ipsam. Vitae dolorum similique beatae. Id asperiores occaecati amet. Veniam assumenda dolorum nam impedit nisi nulla. Fugit tenetur error nihil inventore necessitatibus animi.,2025-05-30 14:54:26,2025-07-02 14:54:26
5,Ravi da Paz,ravidapaz5@edutech.com,UI/UX,Architecto doloremque eaque recusandae nihil rem dicta. Molestias officia tenetur repudiandae. Cumque esse quibusdam necessitatibus. Ipsa iusto esse illo earum.,2024-03-26 17:14:33,2024-04-05 17:14:33
6,Cecília Jesus,ceciliajesus6@edutech.com,Data Science,Pariatur similique ex possimus enim veniam. Alias at dolorum blanditiis quo sint repudiandae. Omnis molestiae impedit. Facere quidem numquam quis dignissimos molestias unde. Sunt laborum adipisci occaecati reiciendis quae.,2025-08-07 01:36:26,2025-10-01 01:36:26
7,Maria Sophia Melo,mariasophiamelo7@edutech.com,UI/UX,Mollitia fugit ullam magni sunt sint eius. Excepturi ratione eaque a quas saepe. Sint ipsum laborum ex quis fugiat ut. Voluptatem dolores fugit sequi illum. Quia provident repellat harum optio reprehenderit. Libero alias magnam nihil.,2024-01-31 15:01:47,2024-03-02 15:01:47
8,Enrico Farias,enricofarias8@edutech.com,Gestão de Projetos,Veritatis occaecati suscipit laborum molestiae nulla. Occaecati ullam voluptatum quia inventore. Quis provident aut cumque. Aliquid recusandae eos. Inventore doloribus illum placeat debitis cupiditate.,2025-06-02 15:20:40,2025-07-01 15:20:40
9,Giovanna Oliveira,giovannaoliveira9@edutech.com,Marketing Digital,Eos praesentium accusantium rerum id ab sint. Tenetur quia rerum. Quod dolorem reiciendis dolor deleniti. Occaecati temporibus officia est. Alias facilis consectetur tenetur eveniet impedit. Ratione soluta facilis magnam. Rerum ducimus repudiandae laboriosam rem.,2025-02-08 07:03:57,2025-02-24 07:03:57
10,Maria Julia Alves,mariajuliaalves10@edutech.com,Marketing Digital,Eveniet nostrum officia odio iure praesentium officiis. Consequuntur veniam esse laudantium. Doloremque modi harum fuga. In quia culpa impedit aut laudantium illum. Porro dolor ipsam. Sequi aut placeat molestias voluptate.,2025-10-17 06:51:32,2025-10-26 23:47:53
11,André da Mota,andredamota11@edutech.com,Excel & BI,Molestiae reiciendis beatae sint. Accusamus ratione dolores eum. Amet qui minima quia labore. Maiores autem magnam veniam aliquam quos. Itaque vitae aperiam laboriosam illo. Laudantium tenetur asperiores aspernatur. Corporis commodi numquam nesciunt quae fugit nisi eos.,2023-12-03 03:53:50,2023-12-13 03:53:50
12,Francisco Lopes,franciscolopes12@edutech.com,SQL,Repellat nam nesciunt natus eveniet commodi. Sit velit in totam amet enim. Aut magni culpa laboriosam sed expedita. Facilis quis nemo rem sapiente voluptate repellendus.,2024-07-31 11:13:00,2024-09-06 11:13:00
13,Levi Sá,levisa13@edutech.com,Excel & BI,Perferendis earum optio. Non impedit dolor maiores exercitationem beatae perspiciatis. Laborum pariatur aliquid hic nobis ab error distinctio. Quisquam enim blanditiis libero.,2024-01-11 08:20:58,2024-02-24 08:20:58
14,Maria Clara Sales,mariaclarasales14@edutech.com,Excel & BI,Ipsa autem ipsa id. Id est excepturi ex. Asperiores odio minus deserunt. Quas reprehenderit repellendus dolores corporis deserunt. Corrupti quis asperiores veritatis occaecati iure natus neque. Officia voluptates eum voluptas et ipsam iusto.,2024-07-16 12:47:54,2024-07-28 12:47:54
15,Aurora Pereira,aurorapereira15@edutech.com,UI/UX,Corrupti aperiam aut tempore exercitationem quaerat magnam. Aliquam provident voluptatibus minima. Culpa fuga eligendi illum excepturi nisi ratione officia. Atque perspiciatis eligendi quam omnis temporibus. Ex nesciunt consequuntur expedita.,2024-06-19 19:54:54,2024-07-04 19:54:54
16,Matheus Câmara,matheuscamara16@edutech.com,UI/UX,Aspernatur sapiente aut quo. Alias excepturi quisquam consectetur fugiat cum rerum.,2024-03-20 10:43:44,2024-04-25 10:43:44
17,Esther Novaes,esthernovaes17@edutech.com,Excel & BI,Sed eligendi quis earum temporibus corporis ipsa. Repellendus suscipit ut impedit id. Harum aspernatur dolore eum aut. Recusandae consequuntur enim rerum possimus consequuntur. Ipsum a aspernatur ducimus rerum molestias quas.,2023-11-10 13:02:57,2023-11-11 13:02:57
18,Enzo Gabriel Moura,enzogabrielmoura18@edutech.com,Marketing Digital,Veritatis molestias ratione magni. Hic iusto odio. Ducimus accusamus ratione exercitationem quasi occaecati.,2024-09-16 13:48:17,2024-09-16 13:48:17
19,Josué Freitas,josuefreitas19@edutech.com,Gestão de Projetos,Quia tempora harum voluptate libero libero. Eaque assumenda incidunt inventore voluptatum debitis eos. Aspernatur optio esse nobis. Porro expedita aliquam sit. Nostrum ipsa odit recusandae animi perferendis. Facilis reiciendis perspiciatis veritatis consequuntur non.,2023-11-24 22:00:45,2024-01-21 22:00:45
20,Theo Camargo,theocamargo20@edutech.com,Gestão de Projetos,Libero harum natus ea. Dolor nostrum possimus voluptatum dicta consequatur asperiores. Tempore ipsum assumenda placeat. Quae mollitia enim error culpa quae. Recusandae magni commodi dicta. Dolores laudantium facere nemo.,2024-06-05 13:22:41,2024-07-24 13:22:41
21,Milena Araújo,milenaaraujo21@edutech.com,Cloud,Corrupti cum eum quae exercitationem velit tempora. Dolorum odio mollitia commodi. Modi magnam cumque velit culpa omnis quam non. Aliquam sint aspernatur veniam quo eaque distinctio.,2025-03-05 01:41:44,2025-04-25 01:41:44
22,Catarina Guerra,catarinaguerra22@edutech.com,Desenvolvimento Web,Maiores autem dolores commodi ipsum consequuntur. Enim fugit nostrum. Repellendus ut quam deleniti. Libero maiores libero est. Veniam magnam vitae dolor. Amet libero sunt. Enim ab autem consequatur eaque facilis illo. Id necessitatibus deserunt.,2025-03-16 00:37:11,2025-03-28 00:37:11
23,Olívia Carvalho,oliviacarvalho23@edutech.com,Gestão de Projetos,Et hic nulla sapiente nisi magni magni laudantium. Error repellendus fuga perferendis voluptatem nesciunt reiciendis. Ad labore voluptas quos quod neque quam nesciunt. Occaecati nulla sapiente corporis perspiciatis adipisci veniam. Deleniti ipsam in impedit.,2025-02-11 23:47:53,2025-03-26 23:47:53
24,Caroline Nogueira,carolinenogueira24@edutech.com,Data Science,Nostrum deleniti doloribus nam dolore. Quo provident porro laborum laboriosam. Ut recusandae earum commodi perspiciatis fugit voluptatem. Enim enim quae expedita. Omnis quibusdam distinctio repudiandae earum natus. Consequatur nulla nesciunt doloribus pariatur.,2024-01-22 20:15:38,2024-03-19 20:15:38
25,Ravi Nascimento,ravinascimento25@edutech.com,Marketing Digital,In saepe ut alias. Delectus quibusdam sit enim alias error nobis. Eligendi voluptatibus molestiae laudantium vel sed. Earum repellat ex quasi officia quaerat accusamus.,2024-01-04 22:21:46,2024-01-23 22:21:46
